doc_i,doc_j,w,s_ref,s_emb,dias,largo,grado_i,grado_j,triangulos,embeddedness,edge_betweenness,puente,articulacion_adyacente,ref_objeto,ref_territorio,ref_actor,idf_max_ref_compartido
978,2211,0.531,0.4479,0.7249,5,False,19,15,12,0.6,0.000449,False,False,estrategia nacional del litio,salar de atacama,,0.6712
983,1088,0.54,0.4479,0.7549,12,False,21,16,15,0.75,0.000435,False,False,estrategia nacional del litio,salar de atacama,,0.6712
983,1205,0.654,0.5694,0.8512,18,False,21,24,20,0.8696,0.000579,False,True,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
983,1242,0.5948,0.4479,0.9374,35,False,21,16,15,0.75,0.000435,False,False,estrategia nacional del litio,salar de atacama,,0.6712
983,1244,0.4932,0.3356,0.8608,53,False,21,14,13,0.65,0.000535,False,False,estrategia nacional del litio,,,0.6712
983,1909,0.6674,0.5694,0.8961,998,True,21,23,7,0.2,0.00272,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
983,1910,0.6623,0.5694,0.8789,998,True,21,23,7,0.2,0.00272,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
983,1911,0.6662,0.5694,0.892,998,True,21,23,7,0.2,0.00272,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
983,1913,0.6612,0.5694,0.8753,998,True,21,23,7,0.2,0.00272,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
983,1928,0.6752,0.5694,0.922,3,False,21,19,18,0.9,7.7e-05,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
983,1930,0.6769,0.5694,0.9277,3,False,21,19,18,0.9,7.7e-05,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
983,1933,0.6777,0.5694,0.9302,53,False,21,18,17,0.85,8.4e-05,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
983,1954,0.6599,0.5694,0.8709,53,False,21,18,17,0.85,8.4e-05,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
983,1972,0.6004,0.4571,0.9348,53,False,21,13,12,0.6,0.000541,False,False,estrategia nacional del litio,,consejo de pueblos atacamenos,0.6712
983,2206,0.5098,0.3356,0.9164,3,False,21,22,15,0.5769,0.001017,False,False,estrategia nacional del litio,,,0.6712
983,2209,0.6389,0.5356,0.8801,339,False,21,28,15,0.4688,0.003027,False,False,estrategia nacional del litio,,estrategia nacional del litio / codelco,1.0
